,roi,identity_mean,identity_std,cross_mean,cross_std
0,lh_ant_face1,0.16666666666666666,0.013576739165384424,0.1651388888888889,0.006702738062229808
1,rh_post_color,0.2569444444444445,0.02249066259535392,0.19895833333333332,0.00704099547535365
2,rh_V4d_both_color,0.2699074074074074,0.026172766713152905,0.1854861111111111,0.0057492283432831175
3,rh_mid_face,0.22129629629629627,0.01621031611112185,0.15145833333333333,0.01484455204135989
4,lh_V4v_color,0.20833333333333334,0.019477485155520953,0.16694444444444445,0.01323167262646061
5,rh_post_object,0.2111111111111111,0.017894581564896008,0.17375000000000002,0.0071854029415265785
6,rh_mid_color,0.19074074074074074,0.015115581219735658,0.17104166666666668,0.012069356539764278
7,lh_ant_object,0.18981481481481483,0.013497573830660421,0.16923611111111111,0.01786437243423725
8,lh_mid_face,0.1902777777777778,0.012196240622518052,0.16618055555555555,0.008133008873309637
9,rh_antl_color,0.18703703703703703,0.02385045717109492,0.17180555555555554,0.012318121249245405
10,rh_V4v_color,0.19212962962962962,0.020338780218971113,0.16416666666666663,0.008018954205082474
11,rh_ant_face1,0.1736111111111111,0.007021180966714393,0.1663194444444444,0.010444407505844846
12,rh_mid_object,0.21296296296296297,0.029207056102939815,0.16520833333333335,0.012680791345014807
13,lh_ant_face2,0.17453703703703702,0.006804138174397722,0.17381944444444447,0.01134434037932463
14,rh_ant_face2,0.18287037037037038,0.011053089246586411,0.174375,0.011046688236193432
15,lh_antl_color,0.17870370370370367,0.011929721043264008,0.15645833333333334,0.009406069914399311
16,lh_post_color,0.20694444444444446,0.02063174069921962,0.18569444444444444,0.009570744549645438
17,rh_antm_color,0.18194444444444444,0.015808676924966552,0.1854861111111111,0.01384437310486346
18,lh_antm_color,0.1675925925925926,0.017359567832641358,0.17381944444444447,0.006756484082752948
19,lh_mid_color,0.19212962962962962,0.023008840073683662,0.16777777777777775,0.008579691784155831
20,lh_V4d_both_color,0.24537037037037038,0.013257241725255888,0.1988888888888889,0.00960092989966449
21,rh_ant_object,0.20324074074074075,0.012019217579395527,0.15993055555555555,0.010422683447505906
22,lh_mid_object,0.20370370370370372,0.007465053470646811,0.17493055555555553,0.008170870044490403
23,lh_post_TEO_face,0.2513888888888889,0.022755936532304646,0.20125,0.016635677208122288
