14	15	16	17	18	19	20	21	5	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond	Spade	Diamond	Spade	LightRed	Sawblade	Hourglass	Puzzle	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	Spike	LightRed	DarkYellow	LightTurquiose
Diamond	Spade	Diamond	Spade	LightRed	Sawblade	Hourglass	Puzzle	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	Spike	LightRed	DarkYellow	LightTurquiose
Diamond	Spade	Diamond	Spade	LightRed	Sawblade	Hourglass	Puzzle	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	Spike	LightRed	DarkYellow	LightTurquiose
Diamond_Choice	Spade_Choice	Diamond_Choice	Spade_Choice	LightRed_Choice	Sawblade_Choice	Hourglass_Choice	Puzzle_Choice	DarkGreen_Choice	LightYellow_Choice	Diamond_Choice	Hat_Choice	DarkYellow_Choice	Spike_Choice	LightRed_Choice	DarkYellow_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	LightTurquiose	Dodecagon	Hourglass	Rabbit	LightPurple	LightBlue	Puzzle	LightGreen	Bar	Diamond	Diamond	LightTurquiose	LightTurquiose	Spike	Hourglass	Venn
LightTurquiose	LightTurquiose	Dodecagon	Hourglass	Rabbit	LightPurple	LightBlue	Puzzle	LightGreen	Bar	Diamond	Diamond	LightTurquiose	LightTurquiose	Spike	Hourglass	Venn
LightTurquiose	LightTurquiose	Dodecagon	Hourglass	Rabbit	LightPurple	LightBlue	Puzzle	LightGreen	Bar	Diamond	Diamond	LightTurquiose	LightTurquiose	Spike	Hourglass	Venn
LightTurquiose_Choice	LightTurquiose_Choice	Dodecagon_Choice	Hourglass_Choice	Rabbit_Choice	LightPurple_Choice	LightBlue_Choice	Puzzle_Choice	LightGreen_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Spike_Choice	Hourglass_Choice	Venn_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	LightYellow	LightYellow	LightTurquiose	Sawblade	Hourglass	Sawblade	LightYellow	Lock	LightYellow	Hat	Bar	LightTurquiose	LightRed	Spike	LightRed	Venn
DarkTurquiose	LightYellow	LightYellow	LightTurquiose	Sawblade	Hourglass	Sawblade	LightYellow	Lock	LightYellow	Hat	Bar	LightTurquiose	LightRed	Spike	LightRed	Venn
