19	20	21	22	23	24	25	26	27	28	5	6	7	8	9	10	16	17	18
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	DarkRed	Lock	DarkBlue	DarkBlue	LightGreen	Nail	LightGray	LightGray	LightPurple	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	LightTurquiose	DarkYellow	LightTurquiose	Nail
Nail	DarkRed	Lock	DarkBlue	DarkBlue	LightGreen	Nail	LightGray	LightGray	LightPurple	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	LightTurquiose	DarkYellow	LightTurquiose	Nail
Nail	DarkRed	Lock	DarkBlue	DarkBlue	LightGreen	Nail	LightGray	LightGray	LightPurple	DarkGreen	LightYellow	Diamond	Hat	DarkYellow	LightTurquiose	DarkYellow	LightTurquiose	Nail
Nail_Choice	DarkRed_Choice	Lock_Choice	DarkBlue_Choice	DarkBlue_Choice	LightGreen_Choice	Nail_Choice	LightGray_Choice	LightGray_Choice	LightPurple_Choice	DarkGreen_Choice	LightYellow_Choice	Diamond_Choice	Hat_Choice	DarkYellow_Choice	LightTurquiose_Choice	DarkYellow_Choice	LightTurquiose_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen	UpArrow	Nail	LightRed	LightRed	DarkRed	DarkBlue	Rabbit	LightGray	DarkBlue	LightGreen	Bar	Diamond	Diamond	Spike	LightTurquiose	Spike	LightTurquiose	LightTurquiose
LightGreen	UpArrow	Nail	LightRed	LightRed	DarkRed	DarkBlue	Rabbit	LightGray	DarkBlue	LightGreen	Bar	Diamond	Diamond	Spike	LightTurquiose	Spike	LightTurquiose	LightTurquiose
LightGreen	UpArrow	Nail	LightRed	LightRed	DarkRed	DarkBlue	Rabbit	LightGray	DarkBlue	LightGreen	Bar	Diamond	Diamond	Spike	LightTurquiose	Spike	LightTurquiose	LightTurquiose
LightGreen_Choice	UpArrow_Choice	Nail_Choice	LightRed_Choice	LightRed_Choice	DarkRed_Choice	DarkBlue_Choice	Rabbit_Choice	LightGray_Choice	DarkBlue_Choice	LightGreen_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	Spike_Choice	LightTurquiose_Choice	Spike_Choice	LightTurquiose_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	DarkBlue	DarkBlue	Hourglass	Hourglass	LightGreen	DarkGray	DarkGray	LightPurple	DarkBlue	Lock	LightYellow	Hat	Bar	LightGreen	DarkYellow	LightGreen	DarkYellow	Spike
Lock	DarkBlue	DarkBlue	Hourglass	Hourglass	LightGreen	DarkGray	DarkGray	LightPurple	DarkBlue	Lock	LightYellow	Hat	Bar	LightGreen	DarkYellow	LightGreen	DarkYellow	Spike
Lock	DarkBlue	DarkBlue	Hourglass	Hourglass	LightGreen	DarkGray	DarkGray	LightPurple	DarkBlue	Lock	LightYellow	Hat	Bar	LightGreen	DarkYellow	LightGreen	DarkYellow	Spike
Lock_Choice	DarkBlue_Choice	DarkBlue_Choice	Hourglass_Choice	Hourglass_Choice	LightGreen_Choice	DarkGray_Choice	DarkGray_Choice	LightPurple_Choice	DarkBlue_Choice	Lock_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	LightGreen_Choice	DarkYellow_Choice	LightGreen_Choice	DarkYellow_Choice	Spike_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow	UpArrow	Lock	LightRed	LightRed	Nail	Venn	LightPurple	Nail	LightPurple	LightGreen	Lock	Hat	Diamond	Nail	DarkYellow	Nail	DarkYellow	LightTurquiose
DarkYellow	UpArrow	Lock	LightRed	LightRed	Nail	Venn	LightPurple	Nail	LightPurple	LightGreen	Lock	Hat	Diamond	Nail	DarkYellow	Nail	DarkYellow	LightTurquiose
DarkYellow	UpArrow	Lock	LightRed	LightRed	Nail	Venn	LightPurple	Nail	LightPurple	LightGreen	Lock	Hat	Diamond	Nail	DarkYellow	Nail	DarkYellow	LightTurquiose
DarkYellow_Choice	UpArrow_Choice	Lock_Choice	LightRed_Choice	LightRed_Choice	Nail_Choice	Venn_Choice	LightPurple_Choice	Nail_Choice	LightPurple_Choice	LightGreen_Choice	Lock_Choice	Hat_Choice	Diamond_Choice	Nail_Choice	DarkYellow_Choice	Nail_Choice	DarkYellow_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade	Lock	LightGreen	Lock	Lock	LightRed	DarkBlue	Venn	Hat	DarkGray	Bar	DarkGreen	LightYellow	DarkGreen	DarkBlue	LightTurquiose	DarkBlue	LightTurquiose	LightGreen
