13	14	15	16	17	18	19	20	21	4	5	6	7	8	9	10	11	12
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Rabbit	LightYellow	LightYellow	LightPurple	LightPurple	UpArrow	Rabbit	LightPurple	Nail	Nail	Nail	DarkBlue	Nail	DarkBlue	Rabbit	DarkBlue	Nail
Nail	Rabbit	LightYellow	LightYellow	LightPurple	LightPurple	UpArrow	Rabbit	LightPurple	Nail	Nail	Nail	DarkBlue	Nail	DarkBlue	Rabbit	DarkBlue	Nail
Nail	Rabbit	LightYellow	LightYellow	LightPurple	LightPurple	UpArrow	Rabbit	LightPurple	Nail	Nail	Nail	DarkBlue	Nail	DarkBlue	Rabbit	DarkBlue	Nail
Nail_Choice	Rabbit_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	UpArrow_Choice	Rabbit_Choice	LightPurple_Choice	Nail_Choice	Nail_Choice	Nail_Choice	DarkBlue_Choice	Nail_Choice	DarkBlue_Choice	Rabbit_Choice	DarkBlue_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit	LightYellow	Diamond	Diamond	LightPurple	LightPurple	DarkRed	Hat	DarkGray	Spade	LightYellow	DarkBlue	Diamond	Diamond	DarkBlue	LightPurple	LightPurple	Rabbit
Rabbit	LightYellow	Diamond	Diamond	LightPurple	LightPurple	DarkRed	Hat	DarkGray	Spade	LightYellow	DarkBlue	Diamond	Diamond	DarkBlue	LightPurple	LightPurple	Rabbit
Rabbit	LightYellow	Diamond	Diamond	LightPurple	LightPurple	DarkRed	Hat	DarkGray	Spade	LightYellow	DarkBlue	Diamond	Diamond	DarkBlue	LightPurple	LightPurple	Rabbit
Rabbit_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	LightPurple_Choice	LightPurple_Choice	DarkRed_Choice	Hat_Choice	DarkGray_Choice	Spade_Choice	LightYellow_Choice	DarkBlue_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice	LightPurple_Choice	LightPurple_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkGreen	LightYellow	LightYellow	LightYellow	LightYellow	Bar	DarkGreen	Rabbit	Diamond	Nail	Bar	DarkGreen	DarkBlue	DarkGray	LightPurple	Bar	Bar
