,Unnamed: 0,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
2904,2904,DarkGreen,3,colored_blobs,"['subjects/wooster/sessions/scd_20230806/26/DarkGreen_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkGreen_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkGreen_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2905,2905,DarkBlue,5,colored_blobs,"['subjects/wooster/sessions/scd_20230806/26/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2906,2906,DarkGray,7,colored_blobs,"['subjects/wooster/sessions/scd_20230806/26/DarkGray_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkGray_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/DarkGray_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2907,2907,Bar,10,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/26/Bar_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Bar_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Bar_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2908,2908,Hat,14,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/26/Hat_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Hat_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Hat_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2909,2909,LightTurquiose,18,colored_blobs,"['subjects/wooster/sessions/scd_20230806/26/LightTurquiose_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/LightTurquiose_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/LightTurquiose_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2910,2910,Diamond,23,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/26/Diamond_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Diamond_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Diamond_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2911,2911,Spade,25,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/26/Spade_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Spade_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/26/Spade_delay_2_instance_beta.nii.gz']",scd_20230806,1,26
2912,2912,DarkGreen_Choice,31,colored_blob_choices,['subjects/wooster/sessions/scd_20230806/26/DarkGreen_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2913,2913,DarkBlue_Choice,33,colored_blob_choices,['subjects/wooster/sessions/scd_20230806/26/DarkBlue_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2914,2914,DarkGray_Choice,35,colored_blob_choices,['subjects/wooster/sessions/scd_20230806/26/DarkGray_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2915,2915,Bar_Choice,38,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230806/26/Bar_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2916,2916,Hat_Choice,42,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230806/26/Hat_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2917,2917,LightTurquiose_Choice,46,colored_blob_choices,['subjects/wooster/sessions/scd_20230806/26/LightTurquiose_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2918,2918,Diamond_Choice,51,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230806/26/Diamond_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2919,2919,Spade_Choice,53,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230806/26/Spade_Choice_instance_beta.nii.gz'],scd_20230806,0,26
2920,2920,DarkRed,1,colored_blobs,"['subjects/wooster/sessions/scd_20230806/20/DarkRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkRed_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2921,2921,DarkGreen,3,colored_blobs,"['subjects/wooster/sessions/scd_20230806/20/DarkGreen_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkGreen_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkGreen_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2922,2922,DarkGray,7,colored_blobs,"['subjects/wooster/sessions/scd_20230806/20/DarkGray_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkGray_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/DarkGray_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2923,2923,UpArrow,8,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/20/UpArrow_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/UpArrow_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/UpArrow_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2924,2924,Bar,10,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/20/Bar_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Bar_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Bar_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2925,2925,Hat,14,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/20/Hat_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Hat_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Hat_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2926,2926,LightPurple,20,colored_blobs,"['subjects/wooster/sessions/scd_20230806/20/LightPurple_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/LightPurple_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/LightPurple_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
2927,2927,Diamond,23,uncolored_shapes,"['subjects/wooster/sessions/scd_20230806/20/Diamond_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Diamond_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230806/20/Diamond_delay_2_instance_beta.nii.gz']",scd_20230806,1,20
