,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
0,DarkRed,1,colored_blobs,"['subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
1,DarkBlue,5,colored_blobs,"['subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
2,UpArrow,8,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
3,Nail,12,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Nail_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Nail_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Nail_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
4,Diamond,23,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Diamond_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Diamond_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Diamond_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
5,Lock,24,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Lock_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Lock_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Lock_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
6,DarkRed_Choice,29,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/25/DarkRed_Choice_instance_beta.nii.gz'],scd_20230407,0,25
7,DarkBlue_Choice,33,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/25/DarkBlue_Choice_instance_beta.nii.gz'],scd_20230407,0,25
8,UpArrow_Choice,36,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/UpArrow_Choice_instance_beta.nii.gz'],scd_20230407,0,25
9,Nail_Choice,40,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Nail_Choice_instance_beta.nii.gz'],scd_20230407,0,25
10,Diamond_Choice,51,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Diamond_Choice_instance_beta.nii.gz'],scd_20230407,0,25
11,Lock_Choice,52,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Lock_Choice_instance_beta.nii.gz'],scd_20230407,0,25
12,DarkRed,1,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
13,DarkGreen,3,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
14,DarkTurquiose,4,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
15,UpArrow,8,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
16,Bar,10,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Bar_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Bar_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Bar_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
17,Dodecagon,11,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
18,LightRed,15,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/LightRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/LightRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/LightRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
19,Hourglass,22,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_2_instance_beta.nii.gz']",scd_20230407,0,21
20,DarkRed_Choice,29,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkRed_Choice_instance_beta.nii.gz'],scd_20230407,0,21
21,DarkGreen_Choice,31,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkGreen_Choice_instance_beta.nii.gz'],scd_20230407,0,21
22,DarkTurquiose_Choice,32,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_Choice_instance_beta.nii.gz'],scd_20230407,0,21
23,UpArrow_Choice,36,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/UpArrow_Choice_instance_beta.nii.gz'],scd_20230407,0,21
24,Bar_Choice,38,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/Bar_Choice_instance_beta.nii.gz'],scd_20230407,0,21
25,Dodecagon_Choice,39,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/Dodecagon_Choice_instance_beta.nii.gz'],scd_20230407,0,21
26,LightRed_Choice,43,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/LightRed_Choice_instance_beta.nii.gz'],scd_20230407,0,21
