,roi,identity_mean,identity_std,cross_mean,cross_std
0,sl_lh_ant_color,0.22967479674796748,0.016828919171238785,0.2020528455284553,0.021299503854140516
1,sl_rh_v4d_color,0.29552845528455285,0.02126508032614984,0.20414634146341465,0.013079138002269541
2,sl_rh_post_object,0.24634146341463414,0.016714519181690275,0.22315040650406504,0.019127830538695708
3,sl_rh_mid_object,0.26314363143631436,0.01864608933525157,0.1966056910569106,0.013338986631173262
4,sl_rh_mid_color,0.2678861788617886,0.01558029910303805,0.19203252032520327,0.0171804604121916
5,hef_lh_ant3amm_face,0.21056910569105688,0.015746166987895882,0.23313008130081303,0.014165660577121885
6,hef_lh_postpost_object,0.22168021680216804,0.01604647300063681,0.20166666666666666,0.01457950503559999
7,sl_lh_ant1_face,0.22479674796747967,0.012528564025164021,0.18245934959349594,0.014124202960180127
8,sl_lh_v4d_color,0.23265582655826558,0.019201550828102765,0.21321138211382112,0.015533030441660975
9,sl_lh_mid_color,0.26531165311653115,0.019811021010836927,0.21522357723577237,0.01804860882142049
10,sl_lh_v4v_color,0.287669376693767,0.01750067014969674,0.2151829268292683,0.016699860361974843
11,sl_lh_ant_obj,0.2523035230352303,0.009672936746652983,0.17711382113821142,0.011526809656992295
12,sl_rh_post_face,0.2394308943089431,0.020325654918197444,0.1869918699186992,0.012176815528162554
13,sl_lh_post_face,0.21029810298102986,0.012577562477910345,0.164369918699187,0.01919178190518396
14,sl_lh_post_obj,0.25149051490514907,0.016251126667279084,0.19623983739837397,0.021853374601935004
15,sl_lh_post_color,0.33184281842818425,0.017868205636647632,0.23528455284552843,0.013222384411822536
16,sl_lh_mid_face,0.2672086720867209,0.014840955631537199,0.23168699186991865,0.013773966008359572
17,sl_rh_ant2_AM_face,0.2158536585365854,0.017956358172907264,0.2058739837398374,0.018067139366429338
18,sl_rh_ant_object,0.22317073170731705,0.012653969444124691,0.20908536585365853,0.016357697817141786
19,sl_rh_ant1_face,0.22235772357723577,0.017090905745511968,0.1784959349593496,0.011417916976337003
20,sl_rh_post_color,0.3336043360433605,0.01325976132544722,0.23542682926829267,0.01276158962434672
21,sl_rh_v4v_color,0.24010840108401083,0.018398269997283112,0.18451219512195124,0.01770389374659521
22,sl_lh_ant2_am_face,0.2215447154471545,0.02012776735631307,0.20595528455284554,0.018828434993566515
23,hef_rh_ant_color,0.2253387533875339,0.01448090498419258,0.1983130081300813,0.01328343391711318
24,sl_rh_mid_face,0.27249322493224937,0.016377736621044844,0.22638211382113824,0.010699940665870827
25,sl_lh_mid_obj,0.260840108401084,0.016948506018478443,0.2147357723577236,0.017736636961385326
