14	15	16	17	18	19	20	21	22	23	5	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	Rabbit	Rabbit	DarkGreen	Rabbit	Diamond	LightGreen	LightGreen	Rabbit	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	Hat	DarkGreen	DarkGreen	Sawblade
Bar	Rabbit	Rabbit	DarkGreen	Rabbit	Diamond	LightGreen	LightGreen	Rabbit	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	Hat	DarkGreen	DarkGreen	Sawblade
Bar	Rabbit	Rabbit	DarkGreen	Rabbit	Diamond	LightGreen	LightGreen	Rabbit	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	Hat	DarkGreen	DarkGreen	Sawblade
Bar_Choice	Rabbit_Choice	Rabbit_Choice	DarkGreen_Choice	Rabbit_Choice	Diamond_Choice	LightGreen_Choice	LightGreen_Choice	Rabbit_Choice	Dodecagon_Choice	DarkGreen_Choice	LightYellow_Choice	Diamond_Choice	Hat_Choice	Hat_Choice	Hat_Choice	DarkGreen_Choice	DarkGreen_Choice	Sawblade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	Bar	Bar	Sawblade	LightBlue	LightGreen	Diamond	LightGreen	LightGreen	Lock	LightGreen	Bar	Diamond	Diamond	Spade	Bar	LightBlue	LightBlue	Bar
LightPurple	Bar	Bar	Sawblade	LightBlue	LightGreen	Diamond	LightGreen	LightGreen	Lock	LightGreen	Bar	Diamond	Diamond	Spade	Bar	LightBlue	LightBlue	Bar
LightPurple	Bar	Bar	Sawblade	LightBlue	LightGreen	Diamond	LightGreen	LightGreen	Lock	LightGreen	Bar	Diamond	Diamond	Spade	Bar	LightBlue	LightBlue	Bar
LightPurple_Choice	Bar_Choice	Bar_Choice	Sawblade_Choice	LightBlue_Choice	LightGreen_Choice	Diamond_Choice	LightGreen_Choice	LightGreen_Choice	Lock_Choice	LightGreen_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	Spade_Choice	Bar_Choice	LightBlue_Choice	LightBlue_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	DarkGreen	DarkGreen	LightBlue	LightBlue	LightPurple	LightBlue	Rabbit	LightYellow	DarkGray	Lock	LightYellow	Hat	Bar	Spade	LightBlue	LightBlue	LightBlue	DarkGray
LightBlue	DarkGreen	DarkGreen	LightBlue	LightBlue	LightPurple	LightBlue	Rabbit	LightYellow	DarkGray	Lock	LightYellow	Hat	Bar	Spade	LightBlue	LightBlue	LightBlue	DarkGray
LightBlue	DarkGreen	DarkGreen	LightBlue	LightBlue	LightPurple	LightBlue	Rabbit	LightYellow	DarkGray	Lock	LightYellow	Hat	Bar	Spade	LightBlue	LightBlue	LightBlue	DarkGray
LightBlue_Choice	DarkGreen_Choice	DarkGreen_Choice	LightBlue_Choice	LightBlue_Choice	LightPurple_Choice	LightBlue_Choice	Rabbit_Choice	LightYellow_Choice	DarkGray_Choice	Lock_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	Spade_Choice	LightBlue_Choice	LightBlue_Choice	LightBlue_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen	Rabbit	Rabbit	Sawblade	Lock	LightYellow	LightYellow	LightBlue	Rabbit	LightGreen	LightGreen	Lock	Hat	Diamond	Bar	Hat	Sawblade	Sawblade	LightBlue
LightGreen	Rabbit	Rabbit	Sawblade	Lock	LightYellow	LightYellow	LightBlue	Rabbit	LightGreen	LightGreen	Lock	Hat	Diamond	Bar	Hat	Sawblade	Sawblade	LightBlue
LightGreen	Rabbit	Rabbit	Sawblade	Lock	LightYellow	LightYellow	LightBlue	Rabbit	LightGreen	LightGreen	Lock	Hat	Diamond	Bar	Hat	Sawblade	Sawblade	LightBlue
LightGreen_Choice	Rabbit_Choice	Rabbit_Choice	Sawblade_Choice	Lock_Choice	LightYellow_Choice	LightYellow_Choice	LightBlue_Choice	Rabbit_Choice	LightGreen_Choice	LightGreen_Choice	Lock_Choice	Hat_Choice	Diamond_Choice	Bar_Choice	Hat_Choice	Sawblade_Choice	Sawblade_Choice	LightBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	LightPurple	LightPurple	Rabbit	Rabbit	Lock	Sawblade	LightGreen	Sawblade	Dodecagon	Bar	DarkGreen	LightYellow	DarkGreen	DarkGreen	DarkGray	LightTurquiose	LightTurquiose	LightTurquiose
